gene_id,symbol,gene_name,gene_biotype,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000137975,CLCA2,CLCA2,protein_coding,583.1254768766645,-0.6148550317879908,0.1734355929979466,5.700841971758822e-5,4.433503346435073e-4
ENSG00000085662,AKR1B1,AKR1B1,protein_coding,2500.200708717543,-0.4216611703255398,0.11247665268390626,5.720529418515828e-5,4.446383084643122e-4
ENSG00000273038,RP11-479G22.8,RP11-479G22.8,lincRNA,87.75171776268475,0.8156159558945539,0.23618090325651614,5.728679713264414e-5,4.4502861956020217e-4
ENSG00000147592,LACTB2,LACTB2,protein_coding,213.96156486687084,0.5513977482123168,0.15163675896706658,5.7611633641038085e-5,4.473077930732127e-4
ENSG00000174348,PODN,PODN,protein_coding,9016.5024768873,-0.37988498453657127,0.10035145331463692,5.766447931832374e-5,4.474738427844173e-4
ENSG00000154319,FAM167A,FAM167A,protein_coding,90.00700076988127,0.8528890157171255,0.25034893491677507,5.7808413673943366e-5,4.4834617017348443e-4
ENSG00000004059,ARF5,ARF5,protein_coding,1229.4588315432889,0.3381494294017081,0.08806544203060991,5.789485120214832e-5,4.4877186021763366e-4
ENSG00000134744,ZCCHC11,ZCCHC11,protein_coding,850.5015833982878,-0.3555495795730147,0.09287054614528856,5.793150578402298e-5,4.4881140428755056e-4
ENSG00000054277,OPN3,OPN3,protein_coding,130.40919781983294,0.7299762240026415,0.20921466369776348,5.820275240362356e-5,4.5066736537242326e-4
ENSG00000104964,AES,AES,protein_coding,3364.5402251995647,0.34329518705425976,0.08960970694891539,5.835985546440019e-5,4.516379674241721e-4
ENSG00000117500,TMED5,TMED5,protein_coding,1947.623491663828,0.3766321469284157,0.09914181983003681,5.8461542461462266e-5,4.519331412890431e-4
ENSG00000119922,IFIT2,IFIT2,protein_coding,379.574966530931,-0.6464016631557303,0.18357908028591724,5.844882565026123e-5,4.519331412890431e-4
ENSG00000131584,ACAP3,ACAP3,protein_coding,1096.9460775539378,-0.4379587871249664,0.11769824212838491,5.852615579988693e-5,4.521868767504572e-4
ENSG00000174238,PITPNA,PITPNA,protein_coding,1626.2115803206743,0.3541032070212607,0.09305097982079932,5.8582109114241306e-5,4.5237346364873415e-4
ENSG00000158321,AUTS2,AUTS2,protein_coding,576.4596137161795,0.4155192169466915,0.11067220192820477,5.894465969963038e-5,4.5492612022113e-4
ENSG00000123130,ACOT9,ACOT9,protein_coding,918.9861496051883,0.38255500713422497,0.10100191775352858,5.978905007529381e-5,4.611927593660408e-4
ENSG00000110237,ARHGEF17,ARHGEF17,protein_coding,2631.0887848273815,0.36069267841041514,0.09545682728019834,5.983749717899743e-5,4.6131629261466636e-4
ENSG00000139173,TMEM117,TMEM117,protein_coding,174.09667289798574,-0.5802371133531322,0.1611335473472176,6.003385299700633e-5,4.625793743387963e-4
ENSG00000110108,TMEM109,TMEM109,protein_coding,2141.0254193864503,0.31434752381468706,0.08189826365282071,6.018950124282621e-5,4.6352759376175426e-4
ENSG00000182154,MRPL41,MRPL41,protein_coding,399.1628674257771,0.4993096251630833,0.13697604601807192,6.0282978055849326e-5,4.639962553389615e-4
ENSG00000008517,IL32,IL32,protein_coding,183.65743754301178,-0.6831240436969166,0.19532613007268734,6.089845377439407e-5,4.6822681431728713e-4
ENSG00000204991,SPIRE2,SPIRE2,protein_coding,107.26028098487723,-0.717758330354033,0.2055813923553947,6.0880311474500224e-5,4.6822681431728713e-4
ENSG00000172175,MALT1,MALT1,protein_coding,830.4951008851486,0.4156043993461764,0.11084389727360353,6.136765788841353e-5,4.7157945208254676e-4
ENSG00000154358,OBSCN,OBSCN,protein_coding,269.9101743561352,-0.592043271556164,0.1657486635595204,6.147036746608169e-5,4.721136645991069e-4
ENSG00000167555,ZNF528,ZNF528,protein_coding,693.4407917689423,-0.4118992431163241,0.11012876621793806,6.154865436955824e-5,4.724598271735545e-4
ENSG00000166435,XRRA1,XRRA1,protein_coding,211.16129365002337,-0.5941301378005711,0.1661046900887971,6.18791239406839e-5,4.7474037698613146e-4
ENSG00000178662,CSRNP3,CSRNP3,protein_coding,38.12249328669951,-1.1123266651417782,0.33537377388751166,6.194337437657904e-5,4.74977119747957e-4
ENSG00000170734,POLH,POLH,protein_coding,784.0201897650894,-0.40192205945841397,0.10709284982514447,6.232998427371495e-5,4.776841036149361e-4
ENSG00000061337,LZTS1,LZTS1,protein_coding,67.04196018160836,-0.9046353037509746,0.2684031383919444,6.30446965585232e-5,4.82901326789679e-4
ENSG00000073060,SCARB1,SCARB1,protein_coding,300.0261309155696,-0.5761334005503495,0.16165737441196054,6.356151692448282e-5,4.8659796379647125e-4
ENSG00000068784,SRBD1,SRBD1,protein_coding,274.96951350235764,-0.5382339047923861,0.14896425793694754,6.413210161940994e-5,4.907019975441027e-4
ENSG00000125970,RALY,RALY,protein_coding,2054.31079548451,-0.4276981360529518,0.1153516889343991,6.43116715284058e-5,4.918114063548624e-4
ENSG00000163565,IFI16,IFI16,protein_coding,5029.448502357498,-0.44568600590871815,0.12106077702079834,6.45345685170241e-5,4.932507805406505e-4
ENSG00000173914,RBM4B,RBM4B,protein_coding,424.9450066019765,-0.41694286489508997,0.11165080893509902,6.499345566490574e-5,4.964913605680017e-4
ENSG00000175455,CCDC14,CCDC14,protein_coding,1908.0755558252802,-0.32421392604601873,0.08491715120168852,6.578730500967381e-5,5.022858971860442e-4
ENSG00000242125,SNHG3,SNHG3,sense_intronic,281.2825098837263,0.5221537204268802,0.14377295352652034,6.613303960559112e-5,5.046546970761417e-4
ENSG00000163131,CTSS,CTSS,protein_coding,77.81305275333487,-0.8741401475799649,0.2589413170199917,6.627248141746314e-5,5.054476009018744e-4
ENSG00000074319,TSG101,TSG101,protein_coding,1044.3808906010509,0.3706780011431689,0.09828050431429536,6.717301451672589e-5,5.12041242489769e-4
ENSG00000205302,SNX2,SNX2,protein_coding,1657.2394454092307,-0.3425441182554534,0.0902437445136504,6.734123713715799e-5,5.130486111617221e-4
ENSG00000151327,FAM177A1,FAM177A1,protein_coding,717.6264333955719,0.4208804183231412,0.11293532939267116,6.74251575177477e-5,5.1341297673043e-4
ENSG00000111737,RAB35,RAB35,protein_coding,1132.847298530471,0.36526059738734534,0.09679640707919435,6.763142379297369e-5,5.144328192680523e-4
ENSG00000167380,ZNF226,ZNF226,protein_coding,322.68017657972916,-0.4655448652026361,0.12666661974160015,6.761049078031573e-5,5.144328192680523e-4
ENSG00000167925,GHDC,GHDC,protein_coding,401.6071011701099,0.4677035987724103,0.12748553759323358,6.81798695358833e-5,5.183273459531823e-4
ENSG00000127951,FGL2,FGL2,protein_coding,225.1164317313407,-0.705766872578838,0.2043519109845239,6.830285120273511e-5,5.189849121301839e-4
ENSG00000149575,SCN2B,SCN2B,protein_coding,133.99679132172875,-0.6854798234170846,0.19647114617875758,6.859234711008674e-5,5.209063242359176e-4
ENSG00000102287,GABRE,GABRE,protein_coding,164.01744960560652,-0.7502781715718262,0.22012260842960724,6.920172898742295e-5,5.252536782908773e-4
ENSG00000135052,GOLM1,GOLM1,protein_coding,1987.9755495427387,-0.34960373027978997,0.09245019848517509,6.943442167162074e-5,5.267387807238045e-4
ENSG00000151779,NBAS,NBAS,protein_coding,1515.1985661196436,-0.3603938958687298,0.0959697201874454,7.227699128366156e-5,5.480106204791055e-4
ENSG00000149541,B3GAT3,B3GAT3,protein_coding,452.269148473524,0.4059465412033924,0.10904853761766878,7.240054170545165e-5,5.486549308568696e-4
ENSG00000175348,TMEM9B,TMEM9B,protein_coding,1278.4978994017195,0.33994410954953397,0.0897321418773553,7.275575921258293e-5,5.510532050265068e-4
ENSG00000076685,NT5C2,NT5C2,protein_coding,991.1724005777909,0.41810136384104357,0.11316398727050758,7.426214540040754e-5,5.621632550161771e-4
ENSG00000114861,FOXP1,FOXP1,protein_coding,1713.2047637586782,-0.3229271597205977,0.08520866356009194,7.464312792778562e-5,5.647467295983099e-4
ENSG00000120708,TGFBI,TGFBI,protein_coding,11280.179336459885,-0.42416149723893226,0.11569151856718396,7.473429080629581e-5,5.65135859877061e-4
ENSG00000178301,AQP11,AQP11,protein_coding,85.27415134900447,-0.8080716830897828,0.2397034641349138,7.521950074543439e-5,5.685027516488091e-4
ENSG00000162869,PPP1R21,PPP1R21,protein_coding,573.7334024665598,0.4405557743576698,0.12019410489370279,7.570811100038725e-5,5.718917529843379e-4
ENSG00000136261,BZW2,BZW2,protein_coding,342.01906435887133,-0.5389473004058334,0.1512097157082544,7.632553348921756e-5,5.762496753453453e-4
ENSG00000130338,TULP4,TULP4,protein_coding,519.0463030845291,-0.4125453997613376,0.11199725184776575,7.770254911186742e-5,5.863347790807438e-4
ENSG00000236739,RP11-370B11.1,RP11-370B11.1,pseudogene,257.88905103715774,0.5719351059743137,0.16211771897783595,7.798234066628929e-5,5.8813404752773e-4
ENSG00000021762,OSBPL5,OSBPL5,protein_coding,1370.3984183565465,0.37341446422510405,0.10033176415162087,7.924249338908372e-5,5.973212644230667e-4
ENSG00000035115,SH3YL1,SH3YL1,protein_coding,466.2174158048321,-0.4373646067737793,0.1197363566203967,8.005815501869333e-5,6.031499984035455e-4
ENSG00000011478,QPCTL,QPCTL,protein_coding,142.05380292671606,0.6094173174596982,0.17454560010987677,8.011502188777248e-5,6.032589048870703e-4
ENSG00000156113,KCNMA1,KCNMA1,protein_coding,754.360220978518,-0.5498899666142774,0.15605872850275876,8.048928061312897e-5,6.057563637254744e-4
ENSG00000165244,ZNF367,ZNF367,protein_coding,42.94190711591525,1.0338901605466255,0.31642656333270663,8.111310717884415e-5,6.101284169814274e-4
ENSG00000023902,PLEKHO1,PLEKHO1,protein_coding,706.9978949589231,0.3742101694504945,0.1009104970598259,8.213678643405907e-5,6.175019293012982e-4
ENSG00000180488,FAM73A,FAM73A,protein_coding,470.239225081091,0.4260903618845392,0.11628139194577289,8.240289281083525e-5,6.191752495199791e-4
ENSG00000186952,TMEM232,TMEM232,protein_coding,67.4807822960254,-0.9942950269949807,0.3073720669281316,8.298852336763983e-5,6.232464394832676e-4
ENSG00000162777,DENND2D,DENND2D,protein_coding,171.13651275134006,-0.5715941324651362,0.16247743325048059,8.373085246391482e-5,6.284895226631791e-4
ENSG00000172081,MOB3A,MOB3A,protein_coding,931.2343052029486,0.3693777317196677,0.09931044510833088,8.411477876127786e-5,6.30729438561221e-4
ENSG00000178252,WDR6,WDR6,protein_coding,2389.790465023422,-0.2939726874252385,0.07748142716391106,8.411795169787938e-5,6.30729438561221e-4
ENSG00000086102,NFX1,NFX1,protein_coding,1109.1046588344102,-0.3378987595809073,0.090213078041797,8.425858054001063e-5,6.311185095319174e-4
ENSG00000254004,ZNF260,ZNF260,protein_coding,402.01755075454,-0.4361764733516449,0.12040651151139174,8.425471435458748e-5,6.311185095319174e-4
ENSG00000100605,ITPK1,ITPK1,protein_coding,595.879403571053,0.4074640018708878,0.11161932211556351,8.516928978989359e-5,6.376041989323402e-4
ENSG00000099139,PCSK5,PCSK5,protein_coding,389.0855746984549,-0.4951253533760564,0.1385545058912545,8.52658091837239e-5,6.379909888633818e-4
ENSG00000134259,NGF,NGF,protein_coding,45.40750995739796,-1.1268003050337536,0.35518462904177217,8.631243178224862e-5,6.448046374320927e-4
ENSG00000160867,FGFR4,FGFR4,protein_coding,311.139029430066,-0.599950808573313,0.17339354173992141,8.626963263284459e-5,6.448046374320927e-4
ENSG00000162745,OLFML2B,OLFML2B,protein_coding,168.19208926097022,-0.9107670972177218,0.28410742873452344,8.62991138699542e-5,6.448046374320927e-4
ENSG00000131981,LGALS3,LGALS3,protein_coding,4769.078747503598,-0.32421036571974815,0.08617874641173917,8.644774774391761e-5,6.454765164879182e-4
ENSG00000224531,SMIM13,SMIM13,protein_coding,279.3819489108022,0.5073550649685405,0.14199585359312905,8.650814744911946e-5,6.455886092950027e-4
ENSG00000140350,ANP32A,ANP32A,protein_coding,722.2386714874477,-0.4132931235205962,0.11399292012567125,8.678771948724837e-5,6.473353550008499e-4
ENSG00000196465,MYL6B,MYL6B,protein_coding,763.3634353871716,-0.4047097912332544,0.11041188600926263,8.690692114083212e-5,6.478847202867903e-4
ENSG00000107372,ZFAND5,ZFAND5,protein_coding,5479.162257077199,0.6166466813434974,0.17984027013916384,8.701530984327119e-5,6.483529424885749e-4
ENSG00000184465,WDR27,WDR27,protein_coding,430.3291424458416,-0.43489905222734526,0.11944692525435747,8.736104482964625e-5,6.505882207627688e-4
ENSG00000077585,GPR137B,GPR137B,protein_coding,670.9233884921897,0.4833960706934097,0.1351809696611152,8.80500222529282e-5,6.548591703570471e-4
ENSG00000113578,FGF1,FGF1,protein_coding,185.4465803082909,0.8726890426978671,0.27113461333911393,8.800657539647906e-5,6.548591703570471e-4
ENSG00000170876,TMEM43,TMEM43,protein_coding,3331.414248941451,0.32903450560683245,0.08786254871241218,8.80726654171141e-5,6.548591703570471e-4
ENSG00000137869,CYP19A1,CYP19A1,protein_coding,63.386359109727884,1.0402723521048,0.32812464847053013,8.906674045027967e-5,6.61904553900093e-4
ENSG00000186063,AIDA,AIDA,protein_coding,3669.8052287066475,0.33966919993749667,0.09114141376735875,9.009702491776456e-5,6.692115312951871e-4
ENSG00000164342,TLR3,TLR3,protein_coding,183.9258454072253,-0.6058399438387433,0.17493799029478613,9.041115244806384e-5,6.711942757939771e-4
ENSG00000227775,RP1-283E3.4,RP1-283E3.4,pseudogene,373.42825853126914,-0.4597223417406977,0.12713240592177566,9.053663891887148e-5,6.71775248816916e-4
ENSG00000086015,MAST2,MAST2,protein_coding,1790.4838603551248,-0.33422640050818686,0.08929251802764879,9.105118264244345e-5,6.752408873337412e-4
ENSG00000100364,KIAA0930,KIAA0930,protein_coding,1918.324796108806,-0.3502401388652376,0.09422834360447409,9.13225252999286e-5,6.769002604826391e-4
ENSG00000164048,ZNF589,ZNF589,protein_coding,185.2496673114772,-0.5521461290771239,0.1573208143809942,9.153584764813049e-5,6.781280713265667e-4
ENSG00000010818,HIVEP2,HIVEP2,protein_coding,1417.1538285559939,-0.3435583478960265,0.09311811378720976,9.191009261045742e-5,6.805461516351621e-4
ENSG00000185122,HSF1,HSF1,protein_coding,1090.3812717155029,0.3720916996771986,0.10092169945968482,9.20886622282845e-5,6.815135960120285e-4
ENSG00000000003,TSPAN6,TSPAN6,protein_coding,711.6506734093653,-0.373597016220005,0.09983661291377766,9.392198232324886e-5,6.947198526083681e-4
ENSG00000092445,TYRO3,TYRO3,protein_coding,444.34148406017516,-0.4440044070136313,0.12328573609460877,9.493885682281272e-5,7.01876455014391e-4
ENSG00000067225,PKM,PKM,protein_coding,21880.29148720507,-0.35292465947032425,0.0955819383257834,9.619872044041859e-5,7.108210906724748e-4
ENSG00000168502,SOGA2,SOGA2,protein_coding,2123.4409088895745,-0.358229071003446,0.09676570872102477,9.713426161122859e-5,7.173612342461659e-4
ENSG00000142634,EFHD2,EFHD2,protein_coding,564.6979926236398,0.3800004986565758,0.10360687525193418,9.799434814977119e-5,7.233376274428362e-4
ENSG00000120370,GORAB,GORAB,protein_coding,328.8191999320098,-0.4568638056756626,0.1277907734617209,9.819113015859287e-5,7.240386912264516e-4
ENSG00000196072,BLOC1S2,BLOC1S2,protein_coding,490.8894989880519,-0.4222203338749589,0.11691348421667713,9.816738428110575e-5,7.240386912264516e-4
ENSG00000110768,GTF2H1,GTF2H1,protein_coding,1354.5718992383518,0.34607791119217013,0.09357646615567165,9.923627236543318e-5,7.313661855574723e-4
ENSG00000150753,CCT5,CCT5,protein_coding,1621.362973919303,0.3260736862499686,0.08782479094173516,1.0054739337538913e-4,7.406285971679452e-4
ENSG00000249115,HAUS5,HAUS5,protein_coding,161.99126312770724,-0.5839536530480344,0.1691045977879087,1.005971913476146e-4,7.406285971679452e-4
ENSG00000175048,ZDHHC14,ZDHHC14,protein_coding,217.66106553421156,-0.5161987200490992,0.1466066103657287,1.0069514880049243e-4,7.40966268255667e-4
ENSG00000163879,DNALI1,DNALI1,protein_coding,313.71816052514697,-0.4828169269831055,0.1360689744759172,1.0109521748784634e-4,7.435255292384314e-4
ENSG00000088888,MAVS,MAVS,protein_coding,1171.0943190221624,0.4550519184399802,0.1276160650434554,1.0146080675853726e-4,7.45828690094798e-4
